"break_year","n_cells","area_ha","pct_of_break"
2018,92573,925.73,35.71
2019,30570,305.7,11.79
2020,17436,174.36,6.73
2021,19736,197.36,7.61
2022,23193,231.93,8.95
2023,75696,756.96,29.2
