"group","n_patches","area_ha","break_frac_area_wtd","pct_no_break_cell","pct_all_break","n_flips_area_wtd"
"artifact_signature",15031,821.7,0.494,46.6,30.5,2.19
"other",6670,3803.3,0.575,40.3,21.2,1.99
"sliver",19516,1077.6,0.464,48.3,29.5,2.28
"wider",2185,3547.3,0.59,12.6,11.1,1.94
"ge_0.5_ha",1471,3421.6,0.6,6.4,6.9,1.92
"all",21701,4625,0.56,44.7,27.6,2.02
