"group","band","band_label","from_class","category_label","n_cells","area_ha","pct_of_band_class"
"bulk",4,"30-50","Crops","break_endpoint",132,1.32,6.8
"bulk",4,"30-50","Crops","break_sustained",622,6.22,32.06
"bulk",4,"30-50","Crops","stable",329,3.29,16.96
"bulk",4,"30-50","Crops","stable_flicker",492,4.92,25.36
"bulk",4,"30-50","Crops","unsettled",365,3.65,18.81
"bulk",4,"30-50","Flooded Vegetation","break_endpoint",21,0.21,17.8
"bulk",4,"30-50","Flooded Vegetation","break_sustained",6,0.06,5.08
"bulk",4,"30-50","Flooded Vegetation","stable",5,0.05,4.24
"bulk",4,"30-50","Flooded Vegetation","stable_flicker",23,0.23,19.49
"bulk",4,"30-50","Flooded Vegetation","unsettled",63,0.63,53.39
"bulk",4,"30-50","Rangeland","break_endpoint",1318,13.18,11.85
"bulk",4,"30-50","Rangeland","break_sustained",285,2.85,2.56
"bulk",4,"30-50","Rangeland","stable",5064,50.64,45.52
"bulk",4,"30-50","Rangeland","stable_flicker",2670,26.7,24
"bulk",4,"30-50","Rangeland","unsettled",1789,17.89,16.08
"bulk",4,"30-50","Snow/Ice","break_endpoint",48,0.48,9.16
"bulk",4,"30-50","Snow/Ice","unsettled",476,4.76,90.84
"bulk",4,"30-50","Trees","break_endpoint",1921,19.21,3.61
"bulk",4,"30-50","Trees","break_sustained",827,8.27,1.55
"bulk",4,"30-50","Trees","stable",43757,437.57,82.16
"bulk",4,"30-50","Trees","stable_flicker",3735,37.35,7.01
"bulk",4,"30-50","Trees","unsettled",3021,30.21,5.67
"bulk",4,"30-50","Water","break_endpoint",209,2.09,11.55
"bulk",4,"30-50","Water","break_sustained",138,1.38,7.62
"bulk",4,"30-50","Water","stable_flicker",742,7.42,40.99
"bulk",4,"30-50","Water","unsettled",721,7.21,39.83
"bulk",5,"50-100","Bare Ground","break_endpoint",2014,20.14,59.48
"bulk",5,"50-100","Bare Ground","break_sustained",54,0.54,1.59
"bulk",5,"50-100","Bare Ground","stable",31,0.31,0.92
"bulk",5,"50-100","Bare Ground","stable_flicker",70,0.7,2.07
"bulk",5,"50-100","Bare Ground","unsettled",1217,12.17,35.94
"bulk",5,"50-100","Built Area","break_endpoint",21,0.21,0.85
"bulk",5,"50-100","Built Area","break_sustained",24,0.24,0.97
"bulk",5,"50-100","Built Area","stable",1839,18.39,74.39
"bulk",5,"50-100","Built Area","stable_flicker",464,4.64,18.77
"bulk",5,"50-100","Built Area","unsettled",124,1.24,5.02
"bulk",5,"50-100","Clouds","unsettled",5,0.05,100
"bulk",5,"50-100","Crops","break_endpoint",318,3.18,6.79
"bulk",5,"50-100","Crops","break_sustained",1676,16.76,35.77
"bulk",5,"50-100","Crops","stable",907,9.07,19.36
"bulk",5,"50-100","Crops","stable_flicker",1070,10.7,22.83
"bulk",5,"50-100","Crops","unsettled",715,7.15,15.26
"bulk",5,"50-100","Flooded Vegetation","break_endpoint",29,0.29,12.95
"bulk",5,"50-100","Flooded Vegetation","break_sustained",4,0.04,1.79
"bulk",5,"50-100","Flooded Vegetation","stable_flicker",60,0.6,26.79
"bulk",5,"50-100","Flooded Vegetation","unsettled",131,1.31,58.48
"bulk",5,"50-100","Rangeland","break_endpoint",2672,26.72,9.92
"bulk",5,"50-100","Rangeland","break_sustained",611,6.11,2.27
"bulk",5,"50-100","Rangeland","stable",14124,141.24,52.42
"bulk",5,"50-100","Rangeland","stable_flicker",6054,60.54,22.47
"bulk",5,"50-100","Rangeland","unsettled",3484,34.84,12.93
"bulk",5,"50-100","Snow/Ice","break_endpoint",43,0.43,6.92
"bulk",5,"50-100","Snow/Ice","unsettled",578,5.78,93.08
"bulk",5,"50-100","Trees","break_endpoint",3130,31.3,2.95
"bulk",5,"50-100","Trees","break_sustained",1257,12.57,1.18
"bulk",5,"50-100","Trees","stable",90213,902.13,84.89
"bulk",5,"50-100","Trees","stable_flicker",6935,69.35,6.53
"bulk",5,"50-100","Trees","unsettled",4733,47.33,4.45
"bulk",5,"50-100","Water","break_endpoint",260,2.6,14.53
