"group","reference","band","band_label","dist_min_m","dist_max_m","category_label","n_cells","area_ha","n_scanned_in_band","pct_of_scanned_in_band"
"bulk","edge_nonwater",5,"50-100",50,100,"stable",446508,4465.08,553765,80.63
"bulk","edge_nonwater",5,"50-100",50,100,"stable_flicker",48486,484.86,553765,8.76
"bulk","edge_nonwater",5,"50-100",50,100,"unsettled",22731,227.31,553765,4.1
"bulk","edge_nonwater",6,"100-200",100,200,"break_endpoint",19792,197.92,693893,2.85
"bulk","edge_nonwater",6,"100-200",100,200,"break_sustained",14143,141.43,693893,2.04
"bulk","edge_nonwater",6,"100-200",100,200,"stable",610349,6103.49,693893,87.96
"bulk","edge_nonwater",6,"100-200",100,200,"stable_flicker",32280,322.8,693893,4.65
"bulk","edge_nonwater",6,"100-200",100,200,"unsettled",17329,173.29,693893,2.5
"bulk","edge_nonwater",7,"200-500",200,500,"break_endpoint",18416,184.16,885158,2.08
"bulk","edge_nonwater",7,"200-500",200,500,"break_sustained",10066,100.66,885158,1.14
"bulk","edge_nonwater",7,"200-500",200,500,"stable",823660,8236.6,885158,93.05
"bulk","edge_nonwater",7,"200-500",200,500,"stable_flicker",21721,217.21,885158,2.45
"bulk","edge_nonwater",7,"200-500",200,500,"unsettled",11295,112.95,885158,1.28
"bulk","edge_nonwater",8,">500",500,Inf,"break_endpoint",12068,120.68,954964,1.26
"bulk","edge_nonwater",8,">500",500,Inf,"break_sustained",6789,67.89,954964,0.71
"bulk","edge_nonwater",8,">500",500,Inf,"stable",919942,9199.42,954964,96.33
"bulk","edge_nonwater",8,">500",500,Inf,"stable_flicker",11257,112.57,954964,1.18
"bulk","edge_nonwater",8,">500",500,Inf,"unsettled",4908,49.08,954964,0.51
