"from_class","to_class","status","break_year","n_cells","area","pct"
"Snow/Ice","Crops","flicker",NA,306,3.06,0.01
"Rangeland","Built Area","break",2023,304,3.04,0.01
"Water","Rangeland","break",2022,296,2.96,0.01
"Built Area","Rangeland","break",2023,283,2.83,0.01
"Built Area","Crops","break",2023,276,2.76,0.01
"Water","Bare Ground","break",2023,271,2.71,0.01
"Flooded Vegetation","Rangeland","break",2018,270,2.7,0.01
"Trees","Bare Ground","flicker",NA,263,2.63,0.01
"Crops","Built Area","break",2023,247,2.47,0.01
"Snow/Ice","Rangeland","break",2018,246,2.46,0.01
"Water","Crops","flicker",NA,244,2.44,0.01
"Built Area","Trees","break",2023,235,2.35,0.01
"Rangeland","Built Area","break",2021,232,2.32,0.01
"Rangeland","Bare Ground","flicker",NA,229,2.29,0.01
"Bare Ground","Crops","break",2018,220,2.2,0.01
"Rangeland","Built Area","break",2022,213,2.13,0.01
"Built Area","Water","flicker",NA,202,2.02,0
"Crops","Built Area","break",2018,200,2,0
"Water","Flooded Vegetation","flicker",NA,194,1.94,0
"Trees","Built Area","break",2019,194,1.94,0
"Water","Built Area","break",2022,187,1.87,0
"Water","Bare Ground","break",2022,179,1.79,0
"Snow/Ice","Water","break",2018,175,1.75,0
"Bare Ground","Bare Ground","stable",NA,165,1.65,0
"Rangeland","Flooded Vegetation","break",2023,165,1.65,0
"Water","Crops","break",2023,162,1.62,0
"Water","Rangeland","break",2019,156,1.56,0
"Bare Ground","Flooded Vegetation","break",2018,153,1.53,0
"Snow/Ice","Trees","break",2018,145,1.45,0
"Rangeland","Water","break",2021,141,1.41,0
"Water","Rangeland","break",2020,139,1.39,0
"Rangeland","Built Area","break",2020,137,1.37,0
"Built Area","Rangeland","break",2019,136,1.36,0
"Flooded Vegetation","Trees","break",2018,132,1.32,0
"Crops","Built Area","break",2021,132,1.32,0
"Water","Rangeland","break",2021,127,1.27,0
"Snow/Ice","Built Area","break",2018,121,1.21,0
"Trees","Built Area","break",2020,119,1.19,0
"Flooded Vegetation","Water","flicker",NA,119,1.19,0
"Crops","Built Area","break",2019,117,1.17,0
"Rangeland","Water","break",2022,117,1.17,0
"Rangeland","Flooded Vegetation","break",2018,117,1.17,0
"Crops","Trees","break",2018,110,1.1,0
"Crops","Built Area","break",2022,107,1.07,0
"Built Area","Water","break",2023,101,1.01,0
"Rangeland","Flooded Vegetation","break",2019,98,0.98,0
"Water","Bare Ground","break",2018,97,0.97,0
"Crops","Trees","break",2023,96,0.96,0
