"from_class","to_class","status","break_year","n_cells","area","pct"
"Trees","Built Area","break",2021,560,5.6,0.01
"Crops","Built Area","break",2019,532,5.32,0.01
"Built Area","Bare Ground","break",2023,518,5.18,0.01
"Flooded Vegetation","Water","break",2019,516,5.16,0.01
"Built Area","Rangeland","break",2018,493,4.93,0.01
"Trees","Crops","break",2022,492,4.92,0.01
"Rangeland","Water","break",2022,461,4.61,0.01
"Flooded Vegetation","Crops","break",2018,436,4.36,0.01
"Built Area","Trees","break",2018,428,4.28,0.01
"Trees","Crops","break",2023,419,4.19,0.01
"Built Area","Crops","break",2018,412,4.12,0.01
"Water","Trees","break",2019,389,3.89,0.01
"Flooded Vegetation","Trees","break",2019,384,3.84,0.01
"Built Area","Crops","break",2023,375,3.75,0.01
"Rangeland","Built Area","break",2020,374,3.74,0.01
"Crops","Trees","break",2018,371,3.71,0.01
"Water","Built Area","break",2022,352,3.52,0.01
"Built Area","Trees","break",2022,351,3.51,0.01
"Crops","Built Area","break",2023,350,3.5,0.01
"Rangeland","Flooded Vegetation","break",2023,336,3.36,0
"Crops","Trees","break",2023,332,3.32,0
"Crops","Built Area","break",2022,331,3.31,0
"Built Area","Water","break",2022,327,3.27,0
"Trees","Water","break",2021,326,3.26,0
"Bare Ground","Rangeland","break",2018,326,3.26,0
"Crops","Water","break",2022,322,3.22,0
"Built Area","Rangeland","break",2023,320,3.2,0
"Rangeland","Crops","break",2020,319,3.19,0
"Rangeland","Flooded Vegetation","break",2022,299,2.99,0
"Crops","Trees","break",2022,293,2.93,0
"Built Area","Water","break",2018,293,2.93,0
"Water","Built Area","break",2019,286,2.86,0
"Built Area","Trees","break",2023,286,2.86,0
"Crops","Rangeland","break",2020,268,2.68,0
"Built Area","Bare Ground","flicker",NA,259,2.59,0
"Water","Rangeland","break",2021,256,2.56,0
"Rangeland","Built Area","break",2021,242,2.42,0
"Water","Trees","break",2021,237,2.37,0
"Bare Ground","Water","break",2023,233,2.33,0
"Water","Rangeland","break",2022,232,2.32,0
"Trees","Crops","break",2018,228,2.28,0
"Water","Crops","break",2022,224,2.24,0
"Crops","Rangeland","break",2021,224,2.24,0
"Flooded Vegetation","Trees","break",2018,218,2.18,0
"Trees","Flooded Vegetation","break",2023,209,2.09,0
"Water","Trees","break",2018,202,2.02,0
"Built Area","Trees","break",2021,199,1.99,0
"Bare Ground","Water","break",2022,197,1.97,0
"Water","Built Area","break",2018,195,1.95,0
"Flooded Vegetation","Water","break",2022,188,1.88,0
"Water","Rangeland","break",2018,185,1.85,0
"Water","Bare Ground","break",2018,169,1.69,0
"Water","Bare Ground","break",2019,168,1.68,0
"Trees","Bare Ground","flicker",NA,163,1.63,0
"Built Area","Crops","break",2022,152,1.52,0
"Bare Ground","Water","break",2019,145,1.45,0
"Rangeland","Bare Ground","flicker",NA,145,1.45,0
"Flooded Vegetation","Trees","break",2021,143,1.43,0
"Water","Trees","break",2020,141,1.41,0
"Crops","Water","break",2018,141,1.41,0
"Built Area","Rangeland","break",2019,137,1.37,0
"Rangeland","Water","break",2020,135,1.35,0
"Bare Ground","Trees","break",2019,133,1.33,0
"Flooded Vegetation","Built Area","flicker",NA,132,1.32,0
"Water","Rangeland","break",2019,129,1.29,0
"Crops","Built Area","break",2020,128,1.28,0
"Trees","Water","break",2019,125,1.25,0
"Bare Ground","Rangeland","break",2022,110,1.1,0
"Flooded Vegetation","Trees","break",2023,109,1.09,0
"Bare Ground","Rangeland","break",2021,108,1.08,0
"Built Area","Crops","break",2021,107,1.07,0
"Trees","Flooded Vegetation","break",2022,104,1.04,0
"Water","Bare Ground","break",2020,100,1,0
"Trees","Water","break",2020,99,0.99,0
"Water","Bare Ground","break",2022,96,0.96,0
"Crops","Water","break",2019,91,0.91,0
"Bare Ground","Built Area","break",2019,88,0.88,0
"Water","Bare Ground","break",2021,87,0.87,0
"Water","Built Area","break",2020,78,0.78,0
"Built Area","Trees","break",2019,78,0.78,0
"Built Area","Crops","break",2020,78,0.78,0
"Rangeland","Water","break",2021,76,0.76,0
"Water","Built Area","break",2021,72,0.72,0
"Flooded Vegetation","Crops","break",2019,72,0.72,0
"Built Area","Rangeland","break",2022,72,0.72,0
"Built Area","Trees","break",2020,69,0.69,0
"Bare Ground","Trees","break",2021,68,0.68,0
"Built Area","Water","break",2021,65,0.65,0
"Built Area","Rangeland","break",2020,64,0.64,0
"Bare Ground","Water","break",2021,64,0.64,0
"Bare Ground","Rangeland","break",2023,62,0.62,0
"Bare Ground","Trees","break",2022,59,0.59,0
"Water","Rangeland","break",2020,58,0.58,0
"Flooded Vegetation","Water","break",2021,58,0.58,0
"Rangeland","Water","break",2019,57,0.57,0
"Bare Ground","Flooded Vegetation","flicker",NA,55,0.55,0
"Flooded Vegetation","Trees","break",2022,54,0.54,0
"Crops","Trees","break",2019,53,0.53,0
"Built Area","Water","break",2020,51,0.51,0
"Bare Ground","Trees","break",2020,46,0.46,0
"Rangeland","Flooded Vegetation","break",2020,46,0.46,0
"Crops","Trees","break",2021,44,0.44,0
"Bare Ground","Rangeland","break",2019,44,0.44,0
"Built Area","Rangeland","break",2021,42,0.42,0
"Trees","Crops","break",2021,39,0.39,0
"Built Area","Crops","break",2019,39,0.39,0
"Rangeland","Flooded Vegetation","break",2019,39,0.39,0
"Bare Ground","Water","break",2020,35,0.35,0
"Flooded Vegetation","Trees","break",2020,33,0.33,0
"Crops","Water","break",2021,30,0.3,0
"Bare Ground","Rangeland","break",2020,30,0.3,0
"Bare Ground","Trees","break",2023,29,0.29,0
"Crops","Trees","break",2020,27,0.27,0
"Bare Ground","Built Area","break",2020,24,0.24,0
"Crops","Water","break",2020,20,0.2,0
"Crops","Flooded Vegetation","break",2019,20,0.2,0
"Built Area","Water","break",2019,20,0.2,0
"Flooded Vegetation","Crops","break",2022,19,0.19,0
"Flooded Vegetation","Crops","break",2023,18,0.18,0
"Bare Ground","Crops","flicker",NA,17,0.17,0
"Crops","Flooded Vegetation","break",2023,16,0.16,0
"Rangeland","Snow/Ice","break",2018,16,0.16,0
"Rangeland","Flooded Vegetation","break",2021,13,0.13,0
"Trees","Crops","break",2019,10,0.1,0
"Built Area","Bare Ground","break",2018,10,0.1,0
"Water","Crops","break",2019,9,0.09,0
"Flooded Vegetation","Bare Ground","flicker",NA,9,0.09,0
"Trees","Snow/Ice","flicker",NA,8,0.08,0
"Flooded Vegetation","Crops","break",2020,8,0.08,0
"Trees","Flooded Vegetation","break",2019,7,0.07,0
"Trees","Flooded Vegetation","break",2018,6,0.06,0
"Trees","Snow/Ice","break",2023,6,0.06,0
"Flooded Vegetation","Water","break",2020,6,0.06,0
"Flooded Vegetation","Built Area","break",2018,6,0.06,0
"Snow/Ice","Snow/Ice","stable",NA,6,0.06,0
"Crops","Bare Ground","flicker",NA,5,0.05,0
"Water","Crops","break",2021,4,0.04,0
