"group","reference","band","band_label","from_class","category_label","n_cells","area_ha","pct_of_band_class"
"kotl","water_core",4,"30-50","Bare Ground","unsettled",873,8.73,31.57
"kotl","water_core",4,"30-50","Built Area","break_endpoint",239,2.39,2.83
"kotl","water_core",4,"30-50","Built Area","break_sustained",111,1.11,1.31
"kotl","water_core",4,"30-50","Built Area","stable",6952,69.52,82.23
"kotl","water_core",4,"30-50","Built Area","stable_flicker",843,8.43,9.97
"kotl","water_core",4,"30-50","Built Area","unsettled",309,3.09,3.66
"kotl","water_core",4,"30-50","Crops","break_endpoint",479,4.79,5.72
"kotl","water_core",4,"30-50","Crops","break_sustained",243,2.43,2.9
"kotl","water_core",4,"30-50","Crops","stable",5650,56.5,67.45
"kotl","water_core",4,"30-50","Crops","stable_flicker",1516,15.16,18.1
"kotl","water_core",4,"30-50","Crops","unsettled",489,4.89,5.84
"kotl","water_core",4,"30-50","Flooded Vegetation","break_endpoint",411,4.11,11.69
"kotl","water_core",4,"30-50","Flooded Vegetation","break_sustained",228,2.28,6.48
"kotl","water_core",4,"30-50","Flooded Vegetation","stable",403,4.03,11.46
"kotl","water_core",4,"30-50","Flooded Vegetation","stable_flicker",1048,10.48,29.8
"kotl","water_core",4,"30-50","Flooded Vegetation","unsettled",1427,14.27,40.57
"kotl","water_core",4,"30-50","Rangeland","break_endpoint",1120,11.2,8.95
"kotl","water_core",4,"30-50","Rangeland","break_sustained",872,8.72,6.97
"kotl","water_core",4,"30-50","Rangeland","stable",6159,61.59,49.2
"kotl","water_core",4,"30-50","Rangeland","stable_flicker",2571,25.71,20.54
"kotl","water_core",4,"30-50","Rangeland","unsettled",1797,17.97,14.35
"kotl","water_core",4,"30-50","Snow/Ice","break_sustained",1,0.01,50
"kotl","water_core",4,"30-50","Snow/Ice","stable_flicker",1,0.01,50
"kotl","water_core",4,"30-50","Trees","break_endpoint",1118,11.18,3.54
"kotl","water_core",4,"30-50","Trees","break_sustained",282,2.82,0.89
"kotl","water_core",4,"30-50","Trees","stable",24651,246.51,78.12
"kotl","water_core",4,"30-50","Trees","stable_flicker",3512,35.12,11.13
"kotl","water_core",4,"30-50","Trees","unsettled",1993,19.93,6.32
"kotl","water_core",4,"30-50","Water","break_endpoint",452,4.52,10.35
"kotl","water_core",4,"30-50","Water","break_sustained",816,8.16,18.68
"kotl","water_core",4,"30-50","Water","stable_flicker",2038,20.38,46.65
"kotl","water_core",4,"30-50","Water","unsettled",1063,10.63,24.33
"kotl","water_core",5,"50-100","Bare Ground","break_endpoint",862,8.62,30.34
"kotl","water_core",5,"50-100","Bare Ground","break_sustained",133,1.33,4.68
"kotl","water_core",5,"50-100","Bare Ground","stable",905,9.05,31.85
"kotl","water_core",5,"50-100","Bare Ground","stable_flicker",73,0.73,2.57
"kotl","water_core",5,"50-100","Bare Ground","unsettled",868,8.68,30.55
"kotl","water_core",5,"50-100","Built Area","break_endpoint",341,3.41,2.22
"kotl","water_core",5,"50-100","Built Area","break_sustained",158,1.58,1.03
"kotl","water_core",5,"50-100","Built Area","stable",13056,130.56,84.82
"kotl","water_core",5,"50-100","Built Area","stable_flicker",1378,13.78,8.95
"kotl","water_core",5,"50-100","Built Area","unsettled",460,4.6,2.99
"kotl","water_core",5,"50-100","Crops","break_endpoint",999,9.99,4.62
"kotl","water_core",5,"50-100","Crops","break_sustained",507,5.07,2.35
"kotl","water_core",5,"50-100","Crops","stable",15065,150.65,69.7
"kotl","water_core",5,"50-100","Crops","stable_flicker",3624,36.24,16.77
"kotl","water_core",5,"50-100","Crops","unsettled",1419,14.19,6.57
"kotl","water_core",5,"50-100","Flooded Vegetation","break_endpoint",1183,11.83,13.88
"kotl","water_core",5,"50-100","Flooded Vegetation","break_sustained",1106,11.06,12.97
