"group","n_patches","area_ha","break_frac_area_wtd","pct_no_break_cell","pct_all_break","n_flips_area_wtd"
"artifact_signature",11509,631.3,0.55,40.3,35.4,2.02
"other",5533,2906.5,0.583,32.3,34.2,1.93
"sliver",15772,846.5,0.544,39.9,36.8,2.03
"wider",1270,2691.2,0.588,10.2,12,1.92
"ge_0.5_ha",894,2658,0.592,5.5,6.3,1.91
"all",17042,3537.8,0.577,37.7,35,1.94
