"stage","seconds"
"download",0.2
"events",0
"classify",5.1
"transition_sieved",299.9
"vectors_sieved",8.5
"vectors_clipped",17.8
"artifact",99.7
"break_class",56.1
"vectors_unsieved",22.7
"crosstab",24.6
"wall",535.1
