"metric","value"
"patches_in",7191
"patches_with_cells",7191
"patches_zero_cells",0
"cells_total",363969
"area_from_cells_ha",3639.69
"area_from_geometry_ha",3639.69
"max_abs_patch_ha_delta",1.84e-10
"published_patch_ids_matched",7161
"published_patch_ids_unmatched",0
"patches_not_tag_evaluated",30
"patches_trimmed_by_clip",11
"trimmed_ha",2.78
"fire_flag_without_year",0
"harvest_flag_without_year",0
"fire_flag_without_number",0
"patches_no_valid_flip_cells",0
"no_valid_flip_ha",0
