"group","reference","band","band_label","dist_min_m","dist_max_m","category_label","n_cells","area_ha","n_scanned_in_band","pct_of_scanned_in_band"
"bulk","edge_nonwater",1,"core",0,0,"break_endpoint",39241,392.41,255800,15.34
"bulk","edge_nonwater",1,"core",0,0,"break_sustained",15511,155.11,255800,6.06
"bulk","edge_nonwater",1,"core",0,0,"stable",66191,661.91,255800,25.88
"bulk","edge_nonwater",1,"core",0,0,"stable_flicker",70951,709.51,255800,27.74
"bulk","edge_nonwater",1,"core",0,0,"unsettled",63906,639.06,255800,24.98
"bulk","edge_nonwater",2,"0-10",0,10,"break_endpoint",17819,178.19,165455,10.77
"bulk","edge_nonwater",2,"0-10",0,10,"break_sustained",8330,83.3,165455,5.03
"bulk","edge_nonwater",2,"0-10",0,10,"stable",71843,718.43,165455,43.42
"bulk","edge_nonwater",2,"0-10",0,10,"stable_flicker",38503,385.03,165455,23.27
"bulk","edge_nonwater",2,"0-10",0,10,"unsettled",28960,289.6,165455,17.5
"bulk","edge_nonwater",3,"10-30",10,30,"break_endpoint",23869,238.69,311529,7.66
"bulk","edge_nonwater",3,"10-30",10,30,"break_sustained",12485,124.85,311529,4.01
"bulk","edge_nonwater",3,"10-30",10,30,"stable",183219,1832.19,311529,58.81
"bulk","edge_nonwater",3,"10-30",10,30,"stable_flicker",56930,569.3,311529,18.27
"bulk","edge_nonwater",3,"10-30",10,30,"unsettled",35026,350.26,311529,11.24
"bulk","edge_nonwater",4,"30-50",30,50,"break_endpoint",15322,153.22,288408,5.31
"bulk","edge_nonwater",4,"30-50",30,50,"break_sustained",9313,93.13,288408,3.23
"bulk","edge_nonwater",4,"30-50",30,50,"stable",206110,2061.1,288408,71.46
"bulk","edge_nonwater",4,"30-50",30,50,"stable_flicker",38525,385.25,288408,13.36
"bulk","edge_nonwater",4,"30-50",30,50,"unsettled",19138,191.38,288408,6.64
"bulk","edge_nonwater",5,"50-100",50,100,"break_endpoint",21742,217.42,553765,3.93
"bulk","edge_nonwater",5,"50-100",50,100,"break_sustained",14298,142.98,553765,2.58
"bulk","edge_nonwater",5,"50-100",50,100,"stable",446508,4465.08,553765,80.63
"bulk","edge_nonwater",5,"50-100",50,100,"stable_flicker",48486,484.86,553765,8.76
"bulk","edge_nonwater",5,"50-100",50,100,"unsettled",22731,227.31,553765,4.1
"bulk","edge_nonwater",6,"100-200",100,200,"break_endpoint",19792,197.92,693893,2.85
"bulk","edge_nonwater",6,"100-200",100,200,"break_sustained",14143,141.43,693893,2.04
"bulk","edge_nonwater",6,"100-200",100,200,"stable",610349,6103.49,693893,87.96
"bulk","edge_nonwater",6,"100-200",100,200,"stable_flicker",32280,322.8,693893,4.65
"bulk","edge_nonwater",6,"100-200",100,200,"unsettled",17329,173.29,693893,2.5
"bulk","edge_nonwater",7,"200-500",200,500,"break_endpoint",18416,184.16,885158,2.08
"bulk","edge_nonwater",7,"200-500",200,500,"break_sustained",10066,100.66,885158,1.14
"bulk","edge_nonwater",7,"200-500",200,500,"stable",823660,8236.6,885158,93.05
"bulk","edge_nonwater",7,"200-500",200,500,"stable_flicker",21721,217.21,885158,2.45
"bulk","edge_nonwater",7,"200-500",200,500,"unsettled",11295,112.95,885158,1.28
"bulk","edge_nonwater",8,">500",500,Inf,"break_endpoint",12068,120.68,954964,1.26
"bulk","edge_nonwater",8,">500",500,Inf,"break_sustained",6789,67.89,954964,0.71
"bulk","edge_nonwater",8,">500",500,Inf,"stable",919942,9199.42,954964,96.33
"bulk","edge_nonwater",8,">500",500,Inf,"stable_flicker",11257,112.57,954964,1.18
