"setting","patch_id","transition","area_ha","width_px","boundary_frac","dist_water_m","n_candidates","rule","crs","terra","drift","date"
"water",10991,"Water -> Trees",0.29,0.64,1,10.4,227,"flag_sliver, 0.2-0.6 ha, mean distance to permanent water <= 15 m and Water in the transition -- median-area candidate, ties to the lower patch_id",32609,"1.9.34","0.17.0","2026-09-07"
"boundary",5796,"Rangeland -> Trees",0.28,1.33,0.75,12843.2,356,"flag_sliver, 0.2-0.6 ha, mean distance to permanent water >= 200 m, no Water in the transition, flag_boundary -- median-area candidate, ties to the lower patch_id",32609,"1.9.34","0.17.0","2026-09-07"
