"group","reference","band","band_label","from_class","category_label","n_cells","area_ha","pct_of_band_class"
"bulk","water_core",3,"10-30","Crops","unsettled",622,6.22,38.21
"bulk","water_core",3,"10-30","Flooded Vegetation","break_endpoint",12,0.12,9.09
"bulk","water_core",3,"10-30","Flooded Vegetation","stable",5,0.05,3.79
"bulk","water_core",3,"10-30","Flooded Vegetation","stable_flicker",16,0.16,12.12
"bulk","water_core",3,"10-30","Flooded Vegetation","unsettled",99,0.99,75
"bulk","water_core",3,"10-30","Rangeland","break_endpoint",1869,18.69,19
"bulk","water_core",3,"10-30","Rangeland","break_sustained",365,3.65,3.71
"bulk","water_core",3,"10-30","Rangeland","stable",2631,26.31,26.75
"bulk","water_core",3,"10-30","Rangeland","stable_flicker",2347,23.47,23.86
"bulk","water_core",3,"10-30","Rangeland","unsettled",2625,26.25,26.68
"bulk","water_core",3,"10-30","Snow/Ice","break_endpoint",91,0.91,9.75
"bulk","water_core",3,"10-30","Snow/Ice","unsettled",842,8.42,90.25
"bulk","water_core",3,"10-30","Trees","break_endpoint",5965,59.65,11.11
"bulk","water_core",3,"10-30","Trees","break_sustained",1627,16.27,3.03
"bulk","water_core",3,"10-30","Trees","stable",33073,330.73,61.59
"bulk","water_core",3,"10-30","Trees","stable_flicker",8012,80.12,14.92
"bulk","water_core",3,"10-30","Trees","unsettled",5019,50.19,9.35
"bulk","water_core",3,"10-30","Water","break_endpoint",1819,18.19,21.17
"bulk","water_core",3,"10-30","Water","break_sustained",1290,12.9,15.01
"bulk","water_core",3,"10-30","Water","stable_flicker",2469,24.69,28.74
"bulk","water_core",3,"10-30","Water","unsettled",3014,30.14,35.08
"bulk","water_core",4,"30-50","Bare Ground","break_endpoint",1258,12.58,53.49
"bulk","water_core",4,"30-50","Bare Ground","break_sustained",42,0.42,1.79
"bulk","water_core",4,"30-50","Bare Ground","stable",84,0.84,3.57
"bulk","water_core",4,"30-50","Bare Ground","stable_flicker",112,1.12,4.76
"bulk","water_core",4,"30-50","Bare Ground","unsettled",856,8.56,36.39
"bulk","water_core",4,"30-50","Built Area","break_endpoint",16,0.16,1.1
"bulk","water_core",4,"30-50","Built Area","break_sustained",9,0.09,0.62
"bulk","water_core",4,"30-50","Built Area","stable",1043,10.43,71.68
"bulk","water_core",4,"30-50","Built Area","stable_flicker",281,2.81,19.31
"bulk","water_core",4,"30-50","Built Area","unsettled",106,1.06,7.29
"bulk","water_core",4,"30-50","Clouds","unsettled",7,0.07,100
"bulk","water_core",4,"30-50","Crops","break_endpoint",132,1.32,6.8
"bulk","water_core",4,"30-50","Crops","break_sustained",622,6.22,32.06
"bulk","water_core",4,"30-50","Crops","stable",329,3.29,16.96
"bulk","water_core",4,"30-50","Crops","stable_flicker",492,4.92,25.36
"bulk","water_core",4,"30-50","Crops","unsettled",365,3.65,18.81
"bulk","water_core",4,"30-50","Flooded Vegetation","break_endpoint",21,0.21,17.8
"bulk","water_core",4,"30-50","Flooded Vegetation","break_sustained",6,0.06,5.08
"bulk","water_core",4,"30-50","Flooded Vegetation","stable",5,0.05,4.24
"bulk","water_core",4,"30-50","Flooded Vegetation","stable_flicker",23,0.23,19.49
"bulk","water_core",4,"30-50","Flooded Vegetation","unsettled",63,0.63,53.39
"bulk","water_core",4,"30-50","Rangeland","break_endpoint",1318,13.18,11.85
"bulk","water_core",4,"30-50","Rangeland","break_sustained",285,2.85,2.56
"bulk","water_core",4,"30-50","Rangeland","stable",5064,50.64,45.52
"bulk","water_core",4,"30-50","Rangeland","stable_flicker",2670,26.7,24
"bulk","water_core",4,"30-50","Rangeland","unsettled",1789,17.89,16.08
"bulk","water_core",4,"30-50","Snow/Ice","break_endpoint",48,0.48,9.16
"bulk","water_core",4,"30-50","Snow/Ice","unsettled",476,4.76,90.84
"bulk","water_core",4,"30-50","Trees","break_endpoint",1921,19.21,3.61
"bulk","water_core",4,"30-50","Trees","break_sustained",827,8.27,1.55
"bulk","water_core",4,"30-50","Trees","stable",43757,437.57,82.16
"bulk","water_core",4,"30-50","Trees","stable_flicker",3735,37.35,7.01
"bulk","water_core",4,"30-50","Trees","unsettled",3021,30.21,5.67
"bulk","water_core",4,"30-50","Water","break_endpoint",209,2.09,11.55
"bulk","water_core",4,"30-50","Water","break_sustained",138,1.38,7.62
"bulk","water_core",4,"30-50","Water","stable_flicker",742,7.42,40.99
"bulk","water_core",4,"30-50","Water","unsettled",721,7.21,39.83
"bulk","water_core",5,"50-100","Bare Ground","break_endpoint",2014,20.14,59.48
"bulk","water_core",5,"50-100","Bare Ground","break_sustained",54,0.54,1.59
"bulk","water_core",5,"50-100","Bare Ground","stable",31,0.31,0.92
"bulk","water_core",5,"50-100","Bare Ground","stable_flicker",70,0.7,2.07
"bulk","water_core",5,"50-100","Bare Ground","unsettled",1217,12.17,35.94
"bulk","water_core",5,"50-100","Built Area","break_endpoint",21,0.21,0.85
"bulk","water_core",5,"50-100","Built Area","break_sustained",24,0.24,0.97
"bulk","water_core",5,"50-100","Built Area","stable",1839,18.39,74.39
"bulk","water_core",5,"50-100","Built Area","stable_flicker",464,4.64,18.77
"bulk","water_core",5,"50-100","Built Area","unsettled",124,1.24,5.02
"bulk","water_core",5,"50-100","Clouds","unsettled",5,0.05,100
"bulk","water_core",5,"50-100","Crops","break_endpoint",318,3.18,6.79
"bulk","water_core",5,"50-100","Crops","break_sustained",1676,16.76,35.77
"bulk","water_core",5,"50-100","Crops","stable",907,9.07,19.36
"bulk","water_core",5,"50-100","Crops","stable_flicker",1070,10.7,22.83
"bulk","water_core",5,"50-100","Crops","unsettled",715,7.15,15.26
"bulk","water_core",5,"50-100","Flooded Vegetation","break_endpoint",29,0.29,12.95
"bulk","water_core",5,"50-100","Flooded Vegetation","break_sustained",4,0.04,1.79
"bulk","water_core",5,"50-100","Flooded Vegetation","stable_flicker",60,0.6,26.79
"bulk","water_core",5,"50-100","Flooded Vegetation","unsettled",131,1.31,58.48
"bulk","water_core",5,"50-100","Rangeland","break_endpoint",2672,26.72,9.92
"bulk","water_core",5,"50-100","Rangeland","break_sustained",611,6.11,2.27
"bulk","water_core",5,"50-100","Rangeland","stable",14124,141.24,52.42
"bulk","water_core",5,"50-100","Rangeland","stable_flicker",6054,60.54,22.47
"bulk","water_core",5,"50-100","Rangeland","unsettled",3484,34.84,12.93
"bulk","water_core",5,"50-100","Snow/Ice","break_endpoint",43,0.43,6.92
"bulk","water_core",5,"50-100","Snow/Ice","unsettled",578,5.78,93.08
"bulk","water_core",5,"50-100","Trees","break_endpoint",3130,31.3,2.95
"bulk","water_core",5,"50-100","Trees","break_sustained",1257,12.57,1.18
"bulk","water_core",5,"50-100","Trees","stable",90213,902.13,84.89
"bulk","water_core",5,"50-100","Trees","stable_flicker",6935,69.35,6.53
"bulk","water_core",5,"50-100","Trees","unsettled",4733,47.33,4.45
"bulk","water_core",5,"50-100","Water","break_endpoint",260,2.6,14.53
"bulk","water_core",5,"50-100","Water","break_sustained",87,0.87,4.86
"bulk","water_core",5,"50-100","Water","stable_flicker",689,6.89,38.51
"bulk","water_core",5,"50-100","Water","unsettled",753,7.53,42.09
"bulk","water_core",6,"100-200","Bare Ground","break_endpoint",2577,25.77,64.46
"bulk","water_core",6,"100-200","Bare Ground","break_sustained",10,0.1,0.25
"bulk","water_core",6,"100-200","Bare Ground","stable_flicker",6,0.06,0.15
"bulk","water_core",6,"100-200","Bare Ground","unsettled",1405,14.05,35.14
"bulk","water_core",6,"100-200","Built Area","break_endpoint",87,0.87,1.36
"bulk","water_core",6,"100-200","Built Area","break_sustained",51,0.51,0.8
