"x","y","valid_ha","stable_ha","sustained_ha","endpoint_ha","unsettled_ha","stable_flicker_ha"
626322.648224166,6110890.06916606,25.06,25.06,0,0,0,0
627322.648224166,6110890.06916606,15.4,15.4,0,0,0,0
628322.648224166,6110890.06916606,2.4,2.4,0,0,0,0
629322.648224166,6110890.06916606,33.39,28.18,0.11,0.43,1.52,3.15
630322.648224166,6110890.06916606,18.8,16.36,0,0.31,0.73,1.4
632322.648224166,6110890.06916606,2.17,2.17,0,0,0,0
633322.648224166,6110890.06916606,2.68,2.68,0,0,0,0
637322.648224166,6110890.06916606,4.79,4.79,0,0,0,0
638322.648224166,6110890.06916606,71.96,47.19,2.73,3.75,6.62,11.67
639322.648224166,6110890.06916606,87.97,85.06,0,2.35,0,0.56
