"group","reference","band","band_label","dist_min_m","dist_max_m","category_label","n_cells","area_ha","pct_of_band"
"bulk","water_core",1,"core",0,0,"stable",591901,5919.01,100
"bulk","water_core",2,"0-10",0,10,"break_endpoint",15122,151.22,33.28
"bulk","water_core",2,"0-10",0,10,"break_sustained",3959,39.59,8.71
"bulk","water_core",2,"0-10",0,10,"stable",1275,12.75,2.81
"bulk","water_core",2,"0-10",0,10,"stable_flicker",14980,149.8,32.97
"bulk","water_core",2,"0-10",0,10,"unsettled",10104,101.04,22.24
"bulk","water_core",3,"10-30",10,30,"break_endpoint",12230,122.3,15.08
"bulk","water_core",3,"10-30",10,30,"break_sustained",3766,37.66,4.64
"bulk","water_core",3,"10-30",10,30,"stable",36530,365.3,45.04
"bulk","water_core",3,"10-30",10,30,"stable_flicker",13836,138.36,17.06
"bulk","water_core",3,"10-30",10,30,"unsettled",14743,147.43,18.18
"bulk","water_core",4,"30-50",30,50,"break_endpoint",4923,49.23,6.78
"bulk","water_core",4,"30-50",30,50,"break_sustained",1929,19.29,2.66
"bulk","water_core",4,"30-50",30,50,"stable",50282,502.82,69.27
"bulk","water_core",4,"30-50",30,50,"stable_flicker",8055,80.55,11.1
"bulk","water_core",4,"30-50",30,50,"unsettled",7404,74.04,10.2
"bulk","water_core",5,"50-100",50,100,"break_endpoint",8487,84.87,5.8
"bulk","water_core",5,"50-100",50,100,"break_sustained",3713,37.13,2.54
"bulk","water_core",5,"50-100",50,100,"stable",107114,1071.14,73.17
"bulk","water_core",5,"50-100",50,100,"stable_flicker",15342,153.42,10.48
"bulk","water_core",5,"50-100",50,100,"unsettled",11740,117.4,8.02
"bulk","water_core",6,"100-200",100,200,"break_endpoint",11852,118.52,5.16
"bulk","water_core",6,"100-200",100,200,"break_sustained",6076,60.76,2.65
"bulk","water_core",6,"100-200",100,200,"stable",171761,1717.61,74.82
"bulk","water_core",6,"100-200",100,200,"stable_flicker",24442,244.42,10.65
"bulk","water_core",6,"100-200",100,200,"unsettled",15447,154.47,6.73
"bulk","water_core",7,"200-500",200,500,"break_endpoint",21984,219.84,4.93
"bulk","water_core",7,"200-500",200,500,"break_sustained",15337,153.37,3.44
"bulk","water_core",7,"200-500",200,500,"stable",332802,3328.02,74.6
"bulk","water_core",7,"200-500",200,500,"stable_flicker",46581,465.81,10.44
"bulk","water_core",7,"200-500",200,500,"unsettled",29405,294.05,6.59
"bulk","water_core",8,">500",500,Inf,"break_endpoint",93671,936.71,3.75
"bulk","water_core",8,">500",500,Inf,"break_sustained",56155,561.55,2.25
"bulk","water_core",8,">500",500,Inf,"stable",2036157,20361.57,81.58
"bulk","water_core",8,">500",500,Inf,"stable_flicker",195417,1954.17,7.83
"bulk","water_core",8,">500",500,Inf,"unsettled",114450,1144.5,4.59
"bulk","water_2017",1,"core",0,0,"break_endpoint",9999,99.99,1.59
"bulk","water_2017",1,"core",0,0,"break_sustained",3769,37.69,0.6
"bulk","water_2017",1,"core",0,0,"stable",591901,5919.01,94.14
"bulk","water_2017",1,"core",0,0,"stable_flicker",15459,154.59,2.46
"bulk","water_2017",1,"core",0,0,"unsettled",7591,75.91,1.21
"bulk","water_2017",2,"0-10",0,10,"break_endpoint",10116,101.16,21.98
"bulk","water_2017",2,"0-10",0,10,"break_sustained",2788,27.88,6.06
"bulk","water_2017",2,"0-10",0,10,"stable",8884,88.84,19.3
"bulk","water_2017",2,"0-10",0,10,"stable_flicker",10789,107.89,23.44
"bulk","water_2017",2,"0-10",0,10,"unsettled",13455,134.55,29.23
"bulk","water_2017",3,"10-30",10,30,"break_endpoint",9863,98.63,11.69
"bulk","water_2017",3,"10-30",10,30,"break_sustained",2498,24.98,2.96
"bulk","water_2017",3,"10-30",10,30,"stable",49763,497.63,59
"bulk","water_2017",3,"10-30",10,30,"stable_flicker",10521,105.21,12.47
"bulk","water_2017",3,"10-30",10,30,"unsettled",11696,116.96,13.87
"bulk","water_2017",4,"30-50",30,50,"break_endpoint",4880,48.8,6.28
"bulk","water_2017",4,"30-50",30,50,"break_sustained",1904,19.04,2.45
"bulk","water_2017",4,"30-50",30,50,"stable",55555,555.55,71.51
"bulk","water_2017",4,"30-50",30,50,"stable_flicker",8229,82.29,10.59
"bulk","water_2017",4,"30-50",30,50,"unsettled",7125,71.25,9.17
"bulk","water_2017",5,"50-100",50,100,"break_endpoint",8714,87.14,5.43
"bulk","water_2017",5,"50-100",50,100,"break_sustained",3736,37.36,2.33
"bulk","water_2017",5,"50-100",50,100,"stable",118856,1188.56,74.05
"bulk","water_2017",5,"50-100",50,100,"stable_flicker",17172,171.72,10.7
"bulk","water_2017",5,"50-100",50,100,"unsettled",12029,120.29,7.49
"bulk","water_2017",6,"100-200",100,200,"break_endpoint",11971,119.71,4.76
"bulk","water_2017",6,"100-200",100,200,"break_sustained",6605,66.05,2.63
"bulk","water_2017",6,"100-200",100,200,"stable",187973,1879.73,74.73
"bulk","water_2017",6,"100-200",100,200,"stable_flicker",28115,281.15,11.18
"bulk","water_2017",6,"100-200",100,200,"unsettled",16858,168.58,6.7
"bulk","water_2017",7,"200-500",200,500,"break_endpoint",23240,232.4,4.8
"bulk","water_2017",7,"200-500",200,500,"break_sustained",16211,162.11,3.35
"bulk","water_2017",7,"200-500",200,500,"stable",362809,3628.09,74.96
"bulk","water_2017",7,"200-500",200,500,"stable_flicker",50361,503.61,10.41
"bulk","water_2017",7,"200-500",200,500,"unsettled",31355,313.55,6.48
