"group","from_class","to_class","changed","category","n_cells","area_ha","pct_of_pair"
"lnth","Built Area","Rangeland",TRUE,"break_sustained",443,4.43,13.3634992458522
"lnth","Built Area","Rangeland",TRUE,"flicker",2118,21.18,63.8914027149321
"lnth","Built Area","Trees",TRUE,"break_endpoint",257,2.57,26.9392033542977
"lnth","Built Area","Trees",TRUE,"break_sustained",106,1.06,11.1111111111111
"lnth","Built Area","Trees",TRUE,"flicker",591,5.91,61.9496855345912
"lnth","Built Area","Water",TRUE,"break_endpoint",51,0.51,19.5402298850575
"lnth","Built Area","Water",TRUE,"break_sustained",65,0.65,24.904214559387
"lnth","Built Area","Water",TRUE,"flicker",145,1.45,55.5555555555556
"lnth","Clouds","Built Area",TRUE,"flicker",10,0.1,100
"lnth","Clouds","Crops",TRUE,"break_endpoint",2,0.02,11.7647058823529
"lnth","Clouds","Crops",TRUE,"flicker",15,0.15,88.2352941176471
"lnth","Clouds","Rangeland",TRUE,"break_endpoint",6,0.06,66.6666666666667
"lnth","Clouds","Rangeland",TRUE,"flicker",3,0.03,33.3333333333333
"lnth","Clouds","Trees",TRUE,"break_endpoint",5,0.05,20.8333333333333
"lnth","Clouds","Trees",TRUE,"flicker",19,0.19,79.1666666666667
"lnth","Clouds","Water",TRUE,"flicker",2,0.02,100
"lnth","Crops","Bare Ground",TRUE,"flicker",44,0.44,100
"lnth","Crops","Built Area",TRUE,"break_endpoint",1212,12.12,39.2614188532556
"lnth","Crops","Built Area",TRUE,"break_sustained",451,4.51,14.6096533851636
"lnth","Crops","Built Area",TRUE,"flicker",1424,14.24,46.1289277615808
"lnth","Crops","Crops",FALSE,"flicker",19403,194.03,30.9408387816935
"lnth","Crops","Crops",FALSE,"stable",43307,433.07,69.0591612183065
"lnth","Crops","Rangeland",TRUE,"break_endpoint",6883,68.83,33.2062910073331
"lnth","Crops","Rangeland",TRUE,"break_sustained",4939,49.39,23.8276727132381
"lnth","Crops","Rangeland",TRUE,"flicker",8906,89.06,42.9660362794288
"lnth","Crops","Trees",TRUE,"break_endpoint",71,0.71,10.8396946564886
"lnth","Crops","Trees",TRUE,"break_sustained",174,1.74,26.5648854961832
"lnth","Crops","Trees",TRUE,"flicker",410,4.1,62.5954198473282
"lnth","Crops","Water",TRUE,"break_endpoint",58,0.58,22.3076923076923
"lnth","Crops","Water",TRUE,"break_sustained",81,0.81,31.1538461538462
"lnth","Crops","Water",TRUE,"flicker",121,1.21,46.5384615384615
"lnth","Flooded Vegetation","Bare Ground",TRUE,"flicker",7,0.07,100
"lnth","Flooded Vegetation","Built Area",TRUE,"flicker",6,0.06,100
"lnth","Flooded Vegetation","Crops",TRUE,"flicker",2,0.02,100
"lnth","Flooded Vegetation","Flooded Vegetation",FALSE,"flicker",63,0.63,65.625
"lnth","Flooded Vegetation","Flooded Vegetation",FALSE,"stable",33,0.33,34.375
"lnth","Flooded Vegetation","Rangeland",TRUE,"break_endpoint",1065,10.65,67.7050222504768
"lnth","Flooded Vegetation","Rangeland",TRUE,"break_sustained",5,0.05,0.317863954227591
"lnth","Flooded Vegetation","Rangeland",TRUE,"flicker",503,5.03,31.9771137952956
"lnth","Flooded Vegetation","Trees",TRUE,"break_endpoint",2,0.02,0.308641975308642
"lnth","Flooded Vegetation","Trees",TRUE,"break_sustained",8,0.08,1.23456790123457
"lnth","Flooded Vegetation","Trees",TRUE,"flicker",638,6.38,98.4567901234568
"lnth","Flooded Vegetation","Water",TRUE,"break_endpoint",59,0.59,52.212389380531
"lnth","Flooded Vegetation","Water",TRUE,"break_sustained",16,0.16,14.1592920353982
"lnth","Flooded Vegetation","Water",TRUE,"flicker",38,0.38,33.6283185840708
"lnth","Rangeland","Bare Ground",TRUE,"flicker",303,3.03,100
"lnth","Rangeland","Built Area",TRUE,"break_endpoint",3102,31.02,27.775787965616
"lnth","Rangeland","Built Area",TRUE,"break_sustained",3515,35.15,31.4738538681948
"lnth","Rangeland","Built Area",TRUE,"flicker",4551,45.51,40.7503581661891
"lnth","Rangeland","Crops",TRUE,"break_endpoint",5606,56.06,23.2382689437904
"lnth","Rangeland","Crops",TRUE,"break_sustained",3147,31.47,13.045100315039
"lnth","Rangeland","Crops",TRUE,"flicker",15371,153.71,63.7166307411706
"lnth","Rangeland","Flooded Vegetation",TRUE,"break_sustained",2,0.02,6.89655172413793
"lnth","Rangeland","Flooded Vegetation",TRUE,"flicker",27,0.27,93.1034482758621
"lnth","Rangeland","Rangeland",FALSE,"flicker",57280,572.8,20.2821369894057
"lnth","Rangeland","Rangeland",FALSE,"stable",225136,2251.36,79.7178630105943
