"break_year","n_cells","area_ha","pct_of_break"
2018,27263,272.63,32.46
2019,6453,64.53,7.68
2020,7335,73.35,8.73
2021,6443,64.43,7.67
2022,13285,132.85,15.82
2023,23206,232.06,27.63
