"group","reference","band","band_label","dist_min_m","dist_max_m","category_label","n_cells","area_ha","n_scanned_in_band","pct_of_scanned_in_band"
"lnth","edge_nonwater",2,"0-10",0,10,"stable_flicker",17479,174.79,61771,28.3
"lnth","edge_nonwater",2,"0-10",0,10,"unsettled",11193,111.93,61771,18.12
"lnth","edge_nonwater",3,"10-30",10,30,"break_endpoint",6861,68.61,114343,6
"lnth","edge_nonwater",3,"10-30",10,30,"break_sustained",4101,41.01,114343,3.59
"lnth","edge_nonwater",3,"10-30",10,30,"stable",63776,637.76,114343,55.78
"lnth","edge_nonwater",3,"10-30",10,30,"stable_flicker",25755,257.55,114343,22.52
"lnth","edge_nonwater",3,"10-30",10,30,"unsettled",13850,138.5,114343,12.11
"lnth","edge_nonwater",4,"30-50",30,50,"break_endpoint",4922,49.22,106966,4.6
"lnth","edge_nonwater",4,"30-50",30,50,"break_sustained",2986,29.86,106966,2.79
"lnth","edge_nonwater",4,"30-50",30,50,"stable",73264,732.64,106966,68.49
"lnth","edge_nonwater",4,"30-50",30,50,"stable_flicker",17916,179.16,106966,16.75
"lnth","edge_nonwater",4,"30-50",30,50,"unsettled",7878,78.78,106966,7.36
"lnth","edge_nonwater",5,"50-100",50,100,"break_endpoint",7436,74.36,215096,3.46
"lnth","edge_nonwater",5,"50-100",50,100,"break_sustained",4933,49.33,215096,2.29
"lnth","edge_nonwater",5,"50-100",50,100,"stable",168485,1684.85,215096,78.33
"lnth","edge_nonwater",5,"50-100",50,100,"stable_flicker",25215,252.15,215096,11.72
"lnth","edge_nonwater",5,"50-100",50,100,"unsettled",9027,90.27,215096,4.2
"lnth","edge_nonwater",6,"100-200",100,200,"break_endpoint",7024,70.24,308143,2.28
"lnth","edge_nonwater",6,"100-200",100,200,"break_sustained",6409,64.09,308143,2.08
"lnth","edge_nonwater",6,"100-200",100,200,"stable",264681,2646.81,308143,85.9
"lnth","edge_nonwater",6,"100-200",100,200,"stable_flicker",23622,236.22,308143,7.67
"lnth","edge_nonwater",6,"100-200",100,200,"unsettled",6407,64.07,308143,2.08
"lnth","edge_nonwater",7,"200-500",200,500,"break_endpoint",4673,46.73,321305,1.45
"lnth","edge_nonwater",7,"200-500",200,500,"break_sustained",5282,52.82,321305,1.64
"lnth","edge_nonwater",7,"200-500",200,500,"stable",291141,2911.41,321305,90.61
"lnth","edge_nonwater",7,"200-500",200,500,"stable_flicker",15565,155.65,321305,4.84
"lnth","edge_nonwater",7,"200-500",200,500,"unsettled",4644,46.44,321305,1.45
"lnth","edge_nonwater",8,">500",500,Inf,"break_endpoint",2290,22.9,377251,0.61
"lnth","edge_nonwater",8,">500",500,Inf,"break_sustained",1277,12.77,377251,0.34
"lnth","edge_nonwater",8,">500",500,Inf,"stable",369414,3694.14,377251,97.92
"lnth","edge_nonwater",8,">500",500,Inf,"stable_flicker",3261,32.61,377251,0.86
"lnth","edge_nonwater",8,">500",500,Inf,"unsettled",1009,10.09,377251,0.27
