"metric","value"
"patches_in",5710
"patches_with_cells",5710
"patches_zero_cells",0
"cells_total",472998
"area_from_cells_ha",4729.98
"area_from_geometry_ha",4729.98
"max_abs_patch_ha_delta",1.18e-10
"published_patch_ids_matched",5692
"published_patch_ids_unmatched",0
"patches_not_tag_evaluated",18
"patches_trimmed_by_clip",2
"trimmed_ha",8.03
"fire_flag_without_year",0
"harvest_flag_without_year",0
"fire_flag_without_number",0
"patches_no_valid_flip_cells",0
"no_valid_flip_ha",0
