"stage","seconds"
"download",0.2
"events",0
"classify",1.8
"transition_sieved",247.2
"vectors_sieved",2.8
"vectors_clipped",5.5
"artifact",35.9
"break_class",21.2
"vectors_unsieved",8.4
"crosstab",8.9
"wall",332.4
