"stage","seconds"
"download",0.2
"events",0
"classify",6
"transition_sieved",385.7
"vectors_sieved",10.7
"vectors_clipped",18.7
"artifact",114.8
"break_class",64.1
"vectors_unsieved",25.2
"crosstab",27.7
"wall",653.6
