"metric","value"
"patches_in",2762
"patches_with_cells",2762
"patches_zero_cells",0
"cells_total",115197
"area_from_cells_ha",1151.97
"area_from_geometry_ha",1151.97
"max_abs_patch_ha_delta",1.49e-10
"published_patch_ids_matched",2753
"published_patch_ids_unmatched",0
"patches_not_tag_evaluated",9
"patches_trimmed_by_clip",4
"trimmed_ha",2.91
"fire_flag_without_year",0
"harvest_flag_without_year",0
"fire_flag_without_number",0
"patches_no_valid_flip_cells",0
"no_valid_flip_ha",0
