"stage","seconds"
"download",0.1
"events",0
"classify",1.9
"transition_sieved",86.6
"vectors_sieved",2.3
"vectors_clipped",4.5
"artifact",31.9
"break_class",20.7
"vectors_unsieved",6.2
"crosstab",7.9
"wall",162.4
