"break_year","n_cells","area_ha","pct_of_break"
2018,94232,942.32,27.01
2019,67197,671.97,19.26
2020,32670,326.7,9.36
2021,26113,261.13,7.48
2022,53003,530.03,15.19
2023,75664,756.64,21.69
