"group","reference","band","band_label","from_class","category_label","n_cells","area_ha","pct_of_band_class"
"necr","water_core",4,"30-50","Built Area","stable",1152,11.52,91.21
"necr","water_core",4,"30-50","Built Area","stable_flicker",71,0.71,5.62
"necr","water_core",4,"30-50","Built Area","unsettled",28,0.28,2.22
"necr","water_core",4,"30-50","Crops","break_endpoint",175,1.75,9.53
"necr","water_core",4,"30-50","Crops","break_sustained",248,2.48,13.5
"necr","water_core",4,"30-50","Crops","stable",337,3.37,18.35
"necr","water_core",4,"30-50","Crops","stable_flicker",621,6.21,33.81
"necr","water_core",4,"30-50","Crops","unsettled",456,4.56,24.82
"necr","water_core",4,"30-50","Flooded Vegetation","break_endpoint",214,2.14,12.61
"necr","water_core",4,"30-50","Flooded Vegetation","break_sustained",62,0.62,3.65
"necr","water_core",4,"30-50","Flooded Vegetation","stable",394,3.94,23.22
"necr","water_core",4,"30-50","Flooded Vegetation","stable_flicker",91,0.91,5.36
"necr","water_core",4,"30-50","Flooded Vegetation","unsettled",936,9.36,55.16
"necr","water_core",4,"30-50","Rangeland","break_endpoint",833,8.33,7.18
"necr","water_core",4,"30-50","Rangeland","break_sustained",713,7.13,6.14
"necr","water_core",4,"30-50","Rangeland","stable",5161,51.61,44.46
"necr","water_core",4,"30-50","Rangeland","stable_flicker",3073,30.73,26.47
"necr","water_core",4,"30-50","Rangeland","unsettled",1828,18.28,15.75
"necr","water_core",4,"30-50","Snow/Ice","break_endpoint",15,0.15,18.99
"necr","water_core",4,"30-50","Snow/Ice","unsettled",64,0.64,81.01
"necr","water_core",4,"30-50","Trees","break_endpoint",969,9.69,2.37
"necr","water_core",4,"30-50","Trees","break_sustained",754,7.54,1.84
"necr","water_core",4,"30-50","Trees","stable",33201,332.01,81.13
"necr","water_core",4,"30-50","Trees","stable_flicker",3972,39.72,9.71
"necr","water_core",4,"30-50","Trees","unsettled",2025,20.25,4.95
"necr","water_core",4,"30-50","Water","break_endpoint",102,1.02,6.49
"necr","water_core",4,"30-50","Water","break_sustained",92,0.92,5.85
"necr","water_core",4,"30-50","Water","stable_flicker",955,9.55,60.75
"necr","water_core",4,"30-50","Water","unsettled",423,4.23,26.91
"necr","water_core",5,"50-100","Bare Ground","break_endpoint",459,4.59,45.45
"necr","water_core",5,"50-100","Bare Ground","break_sustained",24,0.24,2.38
"necr","water_core",5,"50-100","Bare Ground","unsettled",527,5.27,52.18
"necr","water_core",5,"50-100","Built Area","break_endpoint",9,0.09,0.54
"necr","water_core",5,"50-100","Built Area","break_sustained",13,0.13,0.78
"necr","water_core",5,"50-100","Built Area","stable",1520,15.2,91.13
"necr","water_core",5,"50-100","Built Area","stable_flicker",94,0.94,5.64
"necr","water_core",5,"50-100","Built Area","unsettled",32,0.32,1.92
"necr","water_core",5,"50-100","Crops","break_endpoint",204,2.04,4.53
"necr","water_core",5,"50-100","Crops","break_sustained",653,6.53,14.5
"necr","water_core",5,"50-100","Crops","stable",1228,12.28,27.28
"necr","water_core",5,"50-100","Crops","stable_flicker",1660,16.6,36.87
"necr","water_core",5,"50-100","Crops","unsettled",757,7.57,16.81
"necr","water_core",5,"50-100","Flooded Vegetation","break_endpoint",275,2.75,9.4
"necr","water_core",5,"50-100","Flooded Vegetation","break_sustained",136,1.36,4.65
"necr","water_core",5,"50-100","Flooded Vegetation","stable",958,9.58,32.73
"necr","water_core",5,"50-100","Flooded Vegetation","stable_flicker",114,1.14,3.89
"necr","water_core",5,"50-100","Flooded Vegetation","unsettled",1444,14.44,49.33
"necr","water_core",5,"50-100","Rangeland","break_endpoint",1618,16.18,6.5
"necr","water_core",5,"50-100","Rangeland","break_sustained",1631,16.31,6.55
"necr","water_core",5,"50-100","Rangeland","stable",12597,125.97,50.58
"necr","water_core",5,"50-100","Rangeland","stable_flicker",5724,57.24,22.98
"necr","water_core",5,"50-100","Rangeland","unsettled",3337,33.37,13.4
"necr","water_core",5,"50-100","Snow/Ice","break_endpoint",22,0.22,31.88
"necr","water_core",5,"50-100","Snow/Ice","unsettled",47,0.47,68.12
"necr","water_core",5,"50-100","Trees","break_endpoint",1681,16.81,2.39
"necr","water_core",5,"50-100","Trees","break_sustained",1440,14.4,2.05
"necr","water_core",5,"50-100","Trees","stable",56624,566.24,80.44
"necr","water_core",5,"50-100","Trees","stable_flicker",7105,71.05,10.09
"necr","water_core",5,"50-100","Trees","unsettled",3542,35.42,5.03
"necr","water_core",5,"50-100","Water","break_endpoint",71,0.71,3.67
"necr","water_core",5,"50-100","Water","break_sustained",218,2.18,11.28
"necr","water_core",5,"50-100","Water","stable_flicker",1195,11.95,61.82
"necr","water_core",5,"50-100","Water","unsettled",449,4.49,23.23
"necr","water_core",6,"100-200","Bare Ground","break_endpoint",541,5.41,52.17
"necr","water_core",6,"100-200","Bare Ground","break_sustained",22,0.22,2.12
