"group","n_patches","area_ha","break_frac_area_wtd","pct_no_break_cell","pct_all_break","n_flips_area_wtd"
"artifact_signature",15567,755.5,0.49,44,33.1,2.16
"other",6423,5024,0.621,34.7,25.8,1.85
"sliver",19676,973.5,0.478,44.8,32.8,2.2
"wider",2314,4806,0.629,11.8,15.1,1.83
"ge_0.5_ha",1590,4642.7,0.634,7.2,9.6,1.82
"all",21990,5779.4,0.604,41.3,31,1.89
