"stage","seconds"
"download",0.2
"classify",1.8
"class_freq",1.6
"break_class",22.3
"category_crosstab",11.3
"transition_vectors",8.7
"transition_artifact",79.8
"patch_zonal",9.5
"shape",2.5
"wall",137.9
