"group","reference","band","band_label","dist_min_m","dist_max_m","category_label","n_cells","area_ha","n_scanned_in_band","pct_of_scanned_in_band"
"necr","water_core",1,"core",0,0,"stable",1059042,10590.42,1059042,100
"necr","water_core",2,"0-10",0,10,"break_endpoint",10917,109.17,45799,23.84
"necr","water_core",2,"0-10",0,10,"break_sustained",5511,55.11,45799,12.03
"necr","water_core",2,"0-10",0,10,"stable",2115,21.15,45799,4.62
"necr","water_core",2,"0-10",0,10,"stable_flicker",15511,155.11,45799,33.87
"necr","water_core",2,"0-10",0,10,"unsettled",11745,117.45,45799,25.64
"necr","water_core",3,"10-30",10,30,"break_endpoint",6149,61.49,76312,8.06
"necr","water_core",3,"10-30",10,30,"break_sustained",3111,31.11,76312,4.08
"necr","water_core",3,"10-30",10,30,"stable",39029,390.29,76312,51.14
"necr","water_core",3,"10-30",10,30,"stable_flicker",15498,154.98,76312,20.31
"necr","water_core",3,"10-30",10,30,"unsettled",12525,125.25,76312,16.41
"necr","water_core",4,"30-50",30,50,"break_endpoint",2704,27.04,60042,4.5
"necr","water_core",4,"30-50",30,50,"break_sustained",1886,18.86,60042,3.14
"necr","water_core",4,"30-50",30,50,"stable",40245,402.45,60042,67.03
"necr","water_core",4,"30-50",30,50,"stable_flicker",8783,87.83,60042,14.63
"necr","water_core",4,"30-50",30,50,"unsettled",6424,64.24,60042,10.7
"necr","water_core",5,"50-100",50,100,"break_endpoint",4339,43.39,107408,4.04
"necr","water_core",5,"50-100",50,100,"break_sustained",4115,41.15,107408,3.83
"necr","water_core",5,"50-100",50,100,"stable",72927,729.27,107408,67.9
"necr","water_core",5,"50-100",50,100,"stable_flicker",15892,158.92,107408,14.8
"necr","water_core",5,"50-100",50,100,"unsettled",10135,101.35,107408,9.44
"necr","water_core",6,"100-200",100,200,"break_endpoint",6175,61.75,154050,4.01
