"changed","category","n_cells","area_ha","category_label","pct_of_changed"
0,0,3223038,32230.38,"stable",NA
0,3,382831,3828.31,"flicker",NA
1,1,178983,1789.83,"break_sustained",30.97
1,2,169896,1698.96,"break_endpoint",29.4
1,3,229066,2290.66,"flicker",39.63
